Label,X Coordinate,Y Coordinate,Z Value
B60L7/10,373.0,2430.0,80232
B60T1/10,1366.0,1522.0,63011
D21F5/20,-1094.0,-721.0,749
F01K17/02,-1356.0,-1980.0,7333
F01K17/06,-33.0,17.0,5182
F01K27/02,-2471.0,-469.0,9054
F02C7/10,2365.0,-728.0,10206
F02G5/00,-1901.0,248.0,8631
F15B21/14,2392.0,223.0,41461
F16D61/00,1299.0,2038.0,29970
F17C9/04,-702.0,2420.0,18330
F22B1/16,-968.0,1371.0,4448
F22B1/18,191.0,1174.0,12867
F22D1/40,-1747.0,1826.0,279
F22G1/02,-2053.0,-1376.0,1717
F22G1/12,-2350.0,948.0,304
F22G5/06,364.0,-2458.0,40
F23G5/46,213.0,-1288.0,22090
F24F3/147,1203.0,-2066.0,10543
F24F12/00,1341.0,-347.0,5528
F24H8/00,1883.0,-1541.0,13971
F27D17/00,-570.0,-2364.0,3842
F28C1/08,2245.0,1110.0,280
